,timestamp
0,2020-04-22T18:45:46.311Z
145,2020-04-22T18:45:46.311Z
143,2020-04-22T18:45:46.311Z
141,2020-04-22T18:45:46.311Z
138,2020-04-22T18:45:46.311Z
137,2020-04-22T18:45:46.311Z
134,2020-04-22T18:45:46.311Z
133,2020-04-22T18:45:46.311Z
132,2020-04-22T18:45:46.311Z
130,2020-04-22T18:45:46.311Z
126,2020-04-22T18:45:46.311Z
122,2020-04-22T18:45:46.311Z
120,2020-04-22T18:45:46.311Z
114,2020-04-22T18:45:46.311Z
112,2020-04-22T18:45:46.311Z
109,2020-04-22T18:45:46.311Z
108,2020-04-22T18:45:46.311Z
104,2020-04-22T18:45:46.311Z
100,2020-04-22T18:45:46.311Z
94,2020-04-22T18:45:46.311Z
90,2020-04-22T18:45:46.311Z
88,2020-04-22T18:45:46.311Z
85,2020-04-22T18:45:46.311Z
82,2020-04-22T18:45:46.311Z
79,2020-04-22T18:45:46.311Z
77,2020-04-22T18:45:46.311Z
76,2020-04-22T18:45:46.311Z
74,2020-04-22T18:45:46.311Z
71,2020-04-22T18:45:46.311Z
70,2020-04-22T18:45:46.311Z
147,2020-04-22T18:45:46.311Z
68,2020-04-22T18:45:46.311Z
148,2020-04-22T18:45:46.311Z
153,2020-04-22T18:45:46.311Z
228,2020-04-22T18:45:46.311Z
225,2020-04-22T18:45:46.311Z
224,2020-04-22T18:45:46.311Z
222,2020-04-22T18:45:46.311Z
220,2020-04-22T18:45:46.311Z
218,2020-04-22T18:45:46.311Z
215,2020-04-22T18:45:46.311Z
214,2020-04-22T18:45:46.311Z
211,2020-04-22T18:45:46.311Z
210,2020-04-22T18:45:46.311Z
209,2020-04-22T18:45:46.311Z
207,2020-04-22T18:45:46.311Z
203,2020-04-22T18:45:46.311Z
199,2020-04-22T18:45:46.311Z
197,2020-04-22T18:45:46.311Z
192,2020-04-22T18:45:46.311Z
191,2020-04-22T18:45:46.311Z
189,2020-04-22T18:45:46.311Z
186,2020-04-22T18:45:46.311Z
185,2020-04-22T18:45:46.311Z
181,2020-04-22T18:45:46.311Z
177,2020-04-22T18:45:46.311Z
171,2020-04-22T18:45:46.311Z
167,2020-04-22T18:45:46.311Z
165,2020-04-22T18:45:46.311Z
162,2020-04-22T18:45:46.311Z
159,2020-04-22T18:45:46.311Z
156,2020-04-22T18:45:46.311Z
154,2020-04-22T18:45:46.311Z
151,2020-04-22T18:45:46.311Z
66,2020-04-22T18:45:46.311Z
115,2020-04-22T18:45:46.311Z
64,2020-04-22T18:45:46.311Z
49,2020-04-22T18:45:46.311Z
45,2020-04-22T18:45:46.311Z
43,2020-04-22T18:45:46.311Z
38,2020-04-22T18:45:46.311Z
37,2020-04-22T18:45:46.311Z
35,2020-04-22T18:45:46.311Z
31,2020-04-22T18:45:46.311Z
27,2020-04-22T18:45:46.311Z
23,2020-04-22T18:45:46.311Z
17,2020-04-22T18:45:46.311Z
13,2020-04-22T18:45:46.311Z
11,2020-04-22T18:45:46.311Z
8,2020-04-22T18:45:46.311Z
5,2020-04-22T18:45:46.311Z
2,2020-04-22T18:45:46.311Z
53,2020-04-22T18:45:46.311Z
55,2020-04-22T18:45:46.311Z
32,2020-04-22T18:45:46.311Z
230,2020-04-22T18:45:46.311Z
61,2020-04-22T18:45:46.311Z
60,2020-04-22T18:45:46.311Z
56,2020-04-22T18:45:46.311Z
57,2020-04-22T18:45:46.311Z
7,2020-05-19T04:10:01.180Z
161,2020-05-19T04:10:01.180Z
84,2020-05-19T04:10:01.180Z
73,2020-05-24T15:31:34.600Z
182,2020-05-24T15:31:34.600Z
183,2020-05-24T15:31:34.600Z
184,2020-05-24T15:31:34.600Z
187,2020-05-24T15:31:34.600Z
178,2020-05-24T15:31:34.600Z
188,2020-05-24T15:31:34.600Z
172,2020-05-24T15:31:34.600Z
180,2020-05-24T15:31:34.600Z
170,2020-05-24T15:31:34.600Z
166,2020-05-24T15:31:34.600Z
24,2020-05-24T15:31:34.600Z
18,2020-05-24T15:31:34.600Z
164,2020-05-24T15:31:34.600Z
163,2020-05-24T15:31:34.600Z
26,2020-05-24T15:31:34.600Z
158,2020-05-24T15:31:34.600Z
28,2020-05-24T15:31:34.600Z
155,2020-05-24T15:31:34.600Z
29,2020-05-24T15:31:34.600Z
30,2020-05-24T15:31:34.600Z
152,2020-05-24T15:31:34.600Z
75,2020-05-24T15:31:34.600Z
168,2020-05-24T15:31:34.600Z
190,2020-05-24T15:31:34.600Z
16,2020-05-24T15:31:34.600Z
150,2020-05-24T15:31:34.600Z
1,2020-05-24T15:31:34.600Z
227,2020-05-24T15:31:34.600Z
226,2020-05-24T15:31:34.600Z
67,2020-05-24T15:31:34.600Z
3,2020-05-24T15:31:34.600Z
223,2020-05-24T15:31:34.600Z
4,2020-05-24T15:31:34.600Z
221,2020-05-24T15:31:34.600Z
63,2020-05-24T15:31:34.600Z
219,2020-05-24T15:31:34.600Z
217,2020-05-24T15:31:34.600Z
216,2020-05-24T15:31:34.600Z
69,2020-05-24T15:31:34.600Z
213,2020-05-24T15:31:34.600Z
212,2020-05-24T15:31:34.600Z
9,2020-05-24T15:31:34.600Z
10,2020-05-24T15:31:34.600Z
62,2020-05-24T15:31:34.600Z
208,2020-05-24T15:31:34.600Z
12,2020-05-24T15:31:34.600Z
202,2020-05-24T15:31:34.600Z
200,2020-05-24T15:31:34.600Z
14,2020-05-24T15:31:34.600Z
198,2020-05-24T15:31:34.600Z
196,2020-05-24T15:31:34.600Z
194,2020-05-24T15:31:34.600Z
193,2020-05-24T15:31:34.600Z
72,2020-05-24T15:31:34.600Z
149,2020-05-24T15:31:34.600Z
157,2020-05-24T15:31:34.600Z
33,2020-05-24T15:31:34.600Z
101,2020-05-24T15:31:34.600Z
103,2020-05-24T15:31:34.600Z
105,2020-05-24T15:31:34.600Z
106,2020-05-24T15:31:34.600Z
107,2020-05-24T15:31:34.600Z
81,2020-05-24T15:31:34.600Z
125,2020-05-24T15:31:34.600Z
48,2020-05-24T15:31:34.600Z
110,2020-05-24T15:31:34.600Z
123,2020-05-24T15:31:34.600Z
44,2020-05-24T15:31:34.600Z
111,2020-05-24T15:31:34.600Z
113,2020-05-24T15:31:34.600Z
121,2020-05-24T15:31:34.600Z
80,2020-05-24T15:31:34.600Z
119,2020-05-24T15:31:34.600Z
65,2020-05-24T15:31:34.600Z
117,2020-05-24T15:31:34.600Z
116,2020-05-24T15:31:34.600Z
95,2020-05-24T15:31:34.600Z
229,2020-05-24T15:31:34.600Z
93,2020-05-24T15:31:34.600Z
42,2020-05-24T15:31:34.600Z
146,2020-05-24T15:31:34.600Z
34,2020-05-24T15:31:34.600Z
144,2020-05-24T15:31:34.600Z
59,2020-05-24T15:31:34.600Z
142,2020-05-24T15:31:34.600Z
36,2020-05-24T15:31:34.600Z
140,2020-05-24T15:31:34.600Z
139,2020-05-24T15:31:34.600Z
58,2020-05-24T15:31:34.600Z
86,2020-05-24T15:31:34.600Z
78,2020-05-24T15:31:34.600Z
136,2020-05-24T15:31:34.600Z
135,2020-05-24T15:31:34.600Z
39,2020-05-24T15:31:34.600Z
87,2020-05-24T15:31:34.600Z
40,2020-05-24T15:31:34.600Z
54,2020-05-24T15:31:34.600Z
131,2020-05-24T15:31:34.600Z
89,2020-05-24T15:31:34.600Z
91,2020-05-24T15:31:34.600Z
46,2020-05-24T15:31:34.600Z
118,2020-06-04T18:44:30.270Z
41,2020-06-04T18:44:30.270Z
195,2020-06-04T18:44:30.270Z
